counter_id,counter_kanji,counter_reading,counter_gloss,number,number_kanji,combined_kanji,generated_reading,jmdict_readings,source,notes,verified_reading
1120410,頁,ページ,page,1,一,一頁,いっページ,,generated,,いっページ
1120410,頁,ページ,page,2,二,二頁,にページ,,generated,,にページ
1120410,頁,ページ,page,3,三,三頁,さんページ,,generated,,さんページ
1120410,頁,ページ,page,4,四,四頁,よんページ,,generated,,よんページ
1120410,頁,ページ,page,5,五,五頁,ごページ,,generated,,ごページ
1120410,頁,ページ,page,6,六,六頁,ろっページ,,generated,6 no sokuon before p-row loanword,ろくページ
1120410,頁,ページ,page,7,七,七頁,ななページ,,generated,,ななページ
1120410,頁,ページ,page,8,八,八頁,はっページ,,generated,,はっページ
1120410,頁,ページ,page,9,九,九頁,きゅうページ,,generated,,きゅうページ
1120410,頁,ページ,page,10,十,十頁,じゅっページ,,generated,,じゅっページ
1120410,頁,ページ,page,何,何,何頁,なんページ,,generated,,なんページ
1175140,駅,えき,counter for railway stations and bus stations,1,一,一駅,いちえき,ひとえき,jmdict_mismatch,jmdict has: ひとえき; generated: いちえき; wago reading for 1,ひとえき
1175140,駅,えき,counter for railway stations and bus stations,2,二,二駅,にえき,,generated,,にえき
1175140,駅,えき,counter for railway stations and bus stations,3,三,三駅,さんえき,,generated,,さんえき
1175140,駅,えき,counter for railway stations and bus stations,4,四,四駅,よんえき,,generated,,よんえき
1175140,駅,えき,counter for railway stations and bus stations,5,五,五駅,ごえき,,generated,,ごえき
1175140,駅,えき,counter for railway stations and bus stations,6,六,六駅,ろくえき,,generated,,ろくえき
1175140,駅,えき,counter for railway stations and bus stations,7,七,七駅,ななえき,,generated,,ななえき
1175140,駅,えき,counter for railway stations and bus stations,8,八,八駅,はちえき,,generated,,はちえき
1175140,駅,えき,counter for railway stations and bus stations,9,九,九駅,きゅうえき,,generated,,きゅうえき
1175140,駅,えき,counter for railway stations and bus stations,10,十,十駅,じゅうえき,,generated,,じゅうえき
1175140,駅,えき,counter for railway stations and bus stations,何,何,何駅,なんえき,,generated,,なんえき
1194480,ヶ月,かげつ,counter for months,1,一,一ヶ月,いっかげつ,いっかげつ,jmdict_match,,いっかげつ
1194480,ヶ月,かげつ,counter for months,2,二,二ヶ月,にかげつ,,generated,,にかげつ
1194480,ヶ月,かげつ,counter for months,3,三,三ヶ月,さんかげつ,,generated,,さんかげつ
1194480,ヶ月,かげつ,counter for months,4,四,四ヶ月,よんかげつ,,generated,,よんかげつ
1194480,ヶ月,かげつ,counter for months,5,五,五ヶ月,ごかげつ,,generated,,ごかげつ
1194480,ヶ月,かげつ,counter for months,6,六,六ヶ月,ろっかげつ,,generated,,ろっかげつ
1194480,ヶ月,かげつ,counter for months,7,七,七ヶ月,ななかげつ,,generated,,ななかげつ
1194480,ヶ月,かげつ,counter for months,8,八,八ヶ月,はっかげつ,,generated,,はっかげつ
1194480,ヶ月,かげつ,counter for months,9,九,九ヶ月,きゅうかげつ,,generated,,きゅうかげつ
1194480,ヶ月,かげつ,counter for months,10,十,十ヶ月,じゅっかげつ,,generated,,じゅっかげつ
1194480,ヶ月,かげつ,counter for months,何,何,何ヶ月,なんかげつ,なんかげつ,jmdict_match,,なんかげつ
1195710,課,か,counter for lessons and chapters (of a book),1,一,一課,いっか,,generated,,いっか
1195710,課,か,counter for lessons and chapters (of a book),2,二,二課,にか,,generated,,にか
1195710,課,か,counter for lessons and chapters (of a book),3,三,三課,さんか,,generated,,さんか
1195710,課,か,counter for lessons and chapters (of a book),4,四,四課,よんか,,generated,,よんか
1195710,課,か,counter for lessons and chapters (of a book),5,五,五課,ごか,,generated,,ごか
1195710,課,か,counter for lessons and chapters (of a book),6,六,六課,ろっか,,generated,,ろっか
1195710,課,か,counter for lessons and chapters (of a book),7,七,七課,ななか,,generated,,ななか
1195710,課,か,counter for lessons and chapters (of a book),8,八,八課,はっか,,generated,,はっか
1195710,課,か,counter for lessons and chapters (of a book),9,九,九課,きゅうか,,generated,,きゅうか
1195710,課,か,counter for lessons and chapters (of a book),10,十,十課,じゅっか,,generated,,じゅっか
1195710,課,か,counter for lessons and chapters (of a book),何,何,何課,なんか,,generated,,なんか
1197050,画,かく,stroke (of a kanji),1,一,一画,いっかく,いっかく,jmdict_match,,いっかく
1197050,画,かく,stroke (of a kanji),2,二,二画,にかく,,generated,,にかく
1197050,画,かく,stroke (of a kanji),3,三,三画,さんかく,,generated,,さんかく
1197050,画,かく,stroke (of a kanji),4,四,四画,よんかく,,generated,,よんかく
1197050,画,かく,stroke (of a kanji),5,五,五画,ごかく,,generated,,ごかく
1197050,画,かく,stroke (of a kanji),6,六,六画,ろっかく,,generated,,ろっかく
1197050,画,かく,stroke (of a kanji),7,七,七画,ななかく,,generated,,ななかく
1197050,画,かく,stroke (of a kanji),8,八,八画,はっかく,,generated,,はっかく
1197050,画,かく,stroke (of a kanji),9,九,九画,きゅうかく,,generated,,きゅうかく
1197050,画,かく,stroke (of a kanji),10,十,十画,じゅっかく,,generated,,じゅっかく
1197050,画,かく,stroke (of a kanji),何,何,何画,なんかく,,generated,,なんかく
