jmdict_id,kanji,reading,jlpt_level,frequency_rank,source
1157170,為る,する,5,1,waller
1375610,成る,なる,5,2,waller
1296400,有る,ある,5,3,waller
1587040,言う,いう,5,4,waller
1577980,居る,いる,5,5,waller
1577985,居る,おる,3,6,waller
1589350,思う,おもう,4,7,waller
1006610,,そう,4,8,waller
1529520,無い,ない,5,9,frequency
1547720,来る,くる,5,10,waller
2820690,,いい,5,11,waller
1259290,見る,みる,5,12,waller
1269130,呉れる,くれる,4,13,waller
1305380,仕舞う,しまう,3,14,waller
1012980,遣る,やる,5,15,waller
1311110,私,わたし,5,16,waller
2755350,じゃ無い,じゃない,5,17,frequency
1578850,行く,いく,5,18,waller
2136890,,とする,5,19,frequency
1591110,聞く,きく,5,20,waller
1420470,知る,しる,5,21,waller
1217730,顔,かお,5,22,frequency
1338240,出る,でる,5,23,waller
1008340,,である,5,24,frequency
1318610,自分,じぶん,5,25,waller
2845606,如何,いかが,5,26,waller
1281020,考える,かんがえる,4,27,waller
1527110,未だ,まだ,5,28,waller
1340450,出来る,できる,5,29,waller
1523060,本当,ほんとう,5,30,waller
2823770,では無い,ではない,5,31,frequency
1535910,貰う,もらう,4,32,waller
1410590,待つ,まつ,5,33,waller
1465580,入る,いる,5,34,audit
1264540,言葉,ことば,5,35,waller
1465590,入る,はいる,5,36,waller
2016410,,みたい,5,37,frequency
1315720,持つ,もつ,5,38,waller
1259140,見える,みえる,4,39,waller
1327190,手,て,5,40,waller
1158880,違う,ちがう,5,41,waller
1013240,,らしい,5,42,frequency
1305990,使う,つかう,5,43,waller
1606560,分かる,わかる,5,44,waller
1530510,無駄,むだ,3,45,waller
1414150,大丈夫,だいじょうぶ,5,46,waller
1348870,少し,すこし,5,47,waller
1380440,声,こえ,5,48,waller
1451750,同じ,おなじ,5,49,waller
1151260,悪い,わるい,5,50,waller
1403390,憎い,にくい,2,51,waller
2772730,難い,にくい,5,52,frequency
1597890,作る,つくる,5,53,waller
1419990,男,おとこ,5,54,waller
1315920,時間,じかん,5,55,waller
1600900,話,はなし,5,56,waller
1605820,良い,よい,5,57,waller
1366770,人間,にんげん,3,58,waller
1212260,感じる,かんじる,3,59,waller
1236070,強い,つよい,5,60,waller
1338180,出す,だす,5,61,waller
1351360,笑う,わらう,4,62,waller
1277450,好き,すき,5,63,waller
1307710,姿,すがた,3,64,waller
1310730,死ぬ,しぬ,5,65,waller
1421850,置く,おく,5,66,waller
1358280,食べる,たべる,5,67,waller
1404975,早い,はやい,5,68,waller
1535880,戻る,もどる,4,69,waller
1373860,世界,せかい,4,70,waller
1266440,呼ぶ,よぶ,5,71,waller
1405800,続ける,つづける,4,72,waller
1355850,場所,ばしょ,4,73,waller
1562350,話す,はなす,5,74,waller
1352320,上げる,あげる,5,75,waller
1401000,相手,あいて,3,76,waller
1198180,会う,あう,5,77,waller
1487660,必要,ひつよう,4,78,waller
1589600,終わる,おわる,5,79,waller
1451210,動く,うごく,4,80,waller
1221270,帰る,かえる,5,81,waller
1269320,後,あと,5,82,waller
1604800,向かう,むかう,4,83,waller
1577100,何,なに,5,84,waller
1510790,変わる,かわる,4,85,waller
1374550,凄い,すごい,4,86,waller
1304970,仕事,しごと,5,87,waller
1007720,,ちゃんと,4,88,audit
1307550,始める,はじめる,4,89,waller
1483150,彼女,かのじょ,4,90,waller
1259210,見せる,みせる,5,91,waller
1307770,子,こ,4,92,waller
1009660,に依る,による,5,93,frequency
1582670,二人,ふたり,5,94,waller
1588880,大きい,おおきい,5,95,waller
1207610,掛ける,かける,5,96,waller
1236900,教える,おしえる,5,97,waller
2100900,,となる,5,98,frequency
1514320,歩く,あるく,5,99,waller
1156800,意味,いみ,5,100,waller
1360930,心配,しんぱい,4,101,waller
1406150,存在,そんざい,3,102,waller
1195970,過ぎる,すぎる,4,103,waller
1591150,聞こえる,きこえる,4,104,waller
1329590,受ける,うける,4,105,waller
1299030,殺す,ころす,3,106,waller
1310680,止める,やめる,4,107,waller
1004590,事になる,ことになる,5,108,frequency
1591430,気持ち,きもち,4,109,waller
1359040,信じる,しんじる,3,110,waller
1579110,今日,きょう,5,111,waller
1450330,逃げる,にげる,4,112,waller
1519210,忘れる,わすれる,5,113,waller
1497190,普通,ふつう,4,114,waller
1378520,生きる,いきる,4,115,waller
1293990,最初,さいしょ,4,116,waller
1499320,部屋,へや,5,117,waller
1293810,最後,さいご,4,118,waller
1550140,理由,りゆう,4,119,waller
1327120,守る,まもる,3,120,waller
1536010,問題,もんだい,5,121,waller
1407460,多い,おおい,5,122,waller
1207240,楽しい,たのしい,5,123,waller
1530970,無理,むり,4,124,waller
1165970,一番,いちばん,5,125,waller
1283190,高い,たかい,5,126,waller
1547330,欲しい,ほしい,5,127,waller
1206050,覚える,おぼえる,5,128,waller
1344930,女,おんな,5,129,waller
1203250,外,そと,5,130,waller
1309260,思い出す,おもいだす,4,131,waller
1597040,立つ,たつ,5,132,waller
1465610,入れる,いれる,5,133,waller
1310670,止める,とめる,4,134,waller
1598820,留める,とどめる,2,135,audit
1202440,開く,ひらく,4,136,waller
1586270,開く,あく,5,137,waller
1304510,残る,のこる,4,138,waller
1449540,答える,こたえる,5,139,waller
1593480,怖い,こわい,4,140,waller
1548370,頼む,たのむ,5,141,waller
1013050,,ゆっくり,5,142,waller
1275640,口,くち,5,143,waller
1326980,取る,とる,5,144,waller
1344410,助ける,たすける,3,145,waller
1356700,状況,じょうきょう,3,146,waller
1409140,体,からだ,5,147,waller
1232870,許す,ゆるす,3,148,waller
1205900,確認,かくにん,3,149,waller
1289370,今度,こんど,4,150,waller
1212250,感じ,かんじ,3,151,waller
1219510,嬉しい,うれしい,4,152,waller
1350040,消える,きえる,5,153,waller
1217700,頑張る,がんばる,5,154,frequency
1237820,胸,むね,3,155,waller
1429750,長い,ながい,5,156,waller
1238680,驚く,おどろく,4,157,waller
1387990,先生,せんせい,5,158,waller
1289590,困る,こまる,5,159,waller
1160820,一つ,ひとつ,5,160,waller
1289070,今回,こんかい,3,161,waller
1004540,事がある,ことがある,5,162,frequency
1550840,離れる,はなれる,3,163,waller
1221520,気,き,4,164,waller
1343950,書く,かく,5,165,waller
1272780,光,ひかり,4,166,waller
1402540,走る,はしる,5,167,waller
1576900,音,おと,4,168,waller
1539040,優しい,やさしい,4,169,waller
1587610,嫌,いや,5,170,waller
1596960,戦う,たたかう,3,171,waller
1584930,余り,あまり,5,172,waller
1592250,国,くに,5,173,waller
1531710,名前,なまえ,5,174,waller
1473740,買う,かう,5,175,waller
1545820,様子,ようす,3,176,waller
1386460,説明,せつめい,4,177,waller
1169870,飲む,のむ,5,178,waller
1188490,何も,なにも,4,179,audit
1254180,決める,きめる,4,180,waller
1549910,理解,りかい,3,181,waller
1345250,女性,じょせい,4,182,waller
1587290,頂く,いただく,4,183,waller
1223640,起きる,おきる,5,184,waller
1190860,可笑しい,おかしい,4,185,waller
1548550,落ちる,おちる,4,186,waller
1404630,足,あし,5,187,waller
